  DATA CHANNELS:                                            
         ch      emin -        emax         data    +-      
       2073    2079.31    2080.32     0.30433E-03     0.98076E-06
       2074    2080.32    2081.32     0.30359E-03     0.97956E-06
       2075    2081.32    2082.33     0.30266E-03     0.97805E-06
       2076    2082.33    2083.34     0.29746E-03     0.96481E-06
       2077    2083.34    2084.34     0.29964E-03     0.97316E-06
       2078    2084.34    2085.35     0.29753E-03     0.96973E-06
       2079    2085.35    2086.36     0.29795E-03     0.97041E-06
       2080    2086.36    2087.36     0.29538E-03     0.96142E-06
       2081    2087.36    2088.37     0.29948E-03     0.97290E-06
       2082    2088.37    2089.37     0.29986E-03     0.97352E-06
       2083    2089.37    2090.38     0.30253E-03     0.97783E-06
       2084    2090.38    2091.39     0.29854E-03     0.96655E-06
       2085    2091.39    2092.39     0.30124E-03     0.97577E-06
       2086    2092.39    2093.40     0.29977E-03     0.97337E-06
       2087    2093.40    2094.41     0.29863E-03     0.97153E-06
       2088    2094.41    2095.41     0.29314E-03     0.95777E-06
       2089    2095.41    2096.42     0.29636E-03     0.96793E-06
       2090    2096.42    2097.43     0.29483E-03     0.96520E-06
       2091    2097.43    2098.43     0.29691E-03     0.96872E-06
       2092    2098.43    2099.44     0.29483E-03     0.96064E-06
       2093    2099.44    2100.45     0.29925E-03     0.97241E-06
       2094    2100.45    2101.45     0.29936E-03     0.97282E-06
       2095    2101.45    2102.46     0.29944E-03     0.97284E-06
       2096    2102.46    2103.47     0.29649E-03     0.96313E-06
       2097    2103.47    2104.47     0.29625E-03     0.96775E-06
       2098    2104.47    2105.48     0.29476E-03     0.96522E-06
       2099    2105.48    2106.49     0.29257E-03     0.96150E-06
       2100    2106.49    2107.49     0.28713E-03     0.94801E-06
       2101    2107.49    2108.50     0.28926E-03     0.95618E-06
       2102    2108.50    2109.51     0.28861E-03     0.95498E-06
       2103    2109.51    2110.51     0.29063E-03     0.95853E-06
       2104    2110.51    2111.52     0.28754E-03     0.94859E-06
       2105    2111.52    2112.53     0.28904E-03     0.95580E-06
       2106    2112.53    2113.53     0.28776E-03     0.95367E-06
       2107    2113.53    2114.54     0.28864E-03     0.95514E-06
       2108    2114.54    2115.54     0.28648E-03     0.94684E-06
       2109    2115.54    2116.55     0.28782E-03     0.95379E-06
       2110    2116.55    2117.56     0.28862E-03     0.95512E-06
       2111    2117.56    2118.56     0.28777E-03     0.95369E-06
       2112    2118.56    2119.57     0.28757E-03     0.95337E-06
       2113    2119.57    2120.58     0.28566E-03     0.94547E-06
       2114    2120.58    2121.58     0.28888E-03     0.95554E-06
       2115    2121.58    2122.59     0.28781E-03     0.95376E-06
       2116    2122.59    2123.60     0.28843E-03     0.95479E-06
       2117    2123.60    2124.60     0.28716E-03     0.94796E-06
       2118    2124.60    2125.61     0.29002E-03     0.95743E-06
       2119    2125.61    2126.62     0.29344E-03     0.96306E-06
       2120    2126.62    2127.62     0.29372E-03     0.96351E-06
       2121    2127.62    2128.63     0.28752E-03     0.94856E-06
       2122    2128.63    2129.64     0.28862E-03     0.95512E-06
       2123    2129.64    2130.64     0.28804E-03     0.95415E-06
       2124    2130.64    2131.65     0.28745E-03     0.95317E-06
       2125    2131.65    2132.66     0.28383E-03     0.94246E-06
       2126    2132.66    2133.66     0.28542E-03     0.94980E-06
       2127    2133.66    2134.67     0.28338E-03     0.94639E-06
       2128    2134.67    2135.68     0.28369E-03     0.94690E-06
       2129    2135.68    2136.68     0.27786E-03     0.93248E-06
       2130    2136.68    2137.69     0.28084E-03     0.94214E-06
       2131    2137.69    2138.69     0.28199E-03     0.94408E-06
       2132    2138.69    2139.70     0.28218E-03     0.94440E-06
       2133    2139.70    2140.71     0.27632E-03     0.92990E-06
       2134    2140.71    2141.71     0.27953E-03     0.93996E-06
       2135    2141.71    2142.72     0.27983E-03     0.94044E-06
       2136    2142.72    2143.73     0.27837E-03     0.93801E-06
       2137    2143.73    2144.73     0.27521E-03     0.92803E-06
       2138    2144.73    2145.74     0.27806E-03     0.93746E-06
       2139    2145.74    2146.75     0.27874E-03     0.93862E-06
       2140    2146.75    2147.75     0.28036E-03     0.94134E-06
       2141    2147.75    2148.76     0.27487E-03     0.92746E-06
       2142    2148.76    2149.77     0.27665E-03     0.93511E-06
       2143    2149.77    2150.77     0.27875E-03     0.93865E-06
       2144    2150.77    2151.78     0.27927E-03     0.93962E-06
       2145    2151.78    2152.79     0.27778E-03     0.93690E-06
       2146    2152.79    2153.79     0.27216E-03     0.92287E-06
       2147    2153.79    2154.80     0.27739E-03     0.93644E-06
       2148    2154.80    2155.81     0.27728E-03     0.93605E-06
       2149    2155.81    2156.81     0.27740E-03     0.93636E-06
       2150    2156.81    2157.82     0.27398E-03     0.92607E-06
       2151    2157.82    2158.82     0.27796E-03     0.93720E-06
       2152    2158.82    2159.83     0.27701E-03     0.93570E-06
       2153    2159.83    2160.84     0.27672E-03     0.93532E-06
       2154    2160.84    2161.84     0.27569E-03     0.92882E-06
       2155    2161.84    2162.85     0.27992E-03     0.94060E-06
       2156    2162.85    2163.86     0.28271E-03     0.94529E-06
       2157    2163.86    2164.86     0.28496E-03     0.94902E-06
       2158    2164.86    2165.87     0.28229E-03     0.93989E-06
       2159    2165.87    2166.88     0.28708E-03     0.95257E-06
       2160    2166.88    2167.88     0.28266E-03     0.94520E-06
       2161    2167.88    2168.89     0.27841E-03     0.93807E-06
       2162    2168.89    2169.90     0.27138E-03     0.92156E-06
       2163    2169.90    2170.90     0.27575E-03     0.93358E-06
       2164    2170.90    2171.91     0.27423E-03     0.93101E-06
       2165    2171.91    2172.92     0.27477E-03     0.93191E-06
       2166    2172.92    2173.92     0.27066E-03     0.92033E-06
       2167    2173.92    2174.93     0.27293E-03     0.92880E-06
       2168    2174.93    2175.94     0.27224E-03     0.92762E-06
       2169    2175.94    2176.94     0.27233E-03     0.92777E-06
       2170    2176.94    2177.95     0.26999E-03     0.91920E-06
       2171    2177.95    2178.96     0.27302E-03     0.92894E-06
       2172    2178.96    2179.96     0.27223E-03     0.92760E-06
       2173    2179.96    2180.97     0.27480E-03     0.93197E-06
       2174    2180.97    2181.97     0.27010E-03     0.91939E-06
       2175    2181.97    2182.98     0.27502E-03     0.93236E-06
       2176    2182.98    2183.99     0.27366E-03     0.93004E-06
       2177    2183.99    2184.99     0.27337E-03     0.92954E-06
       2178    2184.99    2186.00     0.26856E-03     0.91676E-06
       2179    2186.00    2187.01     0.27009E-03     0.92395E-06
       2180    2187.01    2188.01     0.26942E-03     0.92281E-06
       2181    2188.01    2189.02     0.27063E-03     0.92486E-06
       2182    2189.02    2190.03     0.26767E-03     0.91524E-06
       2183    2190.03    2191.03     0.27139E-03     0.92617E-06
       2184    2191.03    2192.04     0.27093E-03     0.92539E-06
       2185    2192.04    2193.05     0.27188E-03     0.92701E-06
       2186    2193.05    2194.05     0.27068E-03     0.92496E-06
       2187    2194.05    2195.06     0.27089E-03     0.92073E-06
       2188    2195.06    2196.07     0.27531E-03     0.93284E-06
       2189    2196.07    2197.07     0.27555E-03     0.93324E-06
       2190    2197.07    2198.08     0.28054E-03     0.94166E-06
       2191    2198.08    2199.09     0.27983E-03     0.93580E-06
       2192    2199.09    2200.09     0.28438E-03     0.94807E-06
       2193    2200.09    2201.10     0.28695E-03     0.95235E-06
       2194    2201.10    2202.10     0.29030E-03     0.95788E-06
       2195    2202.10    2203.11     0.29173E-03     0.95549E-06
       2196    2203.11    2204.12     0.29954E-03     0.97302E-06
       2197    2204.12    2205.12     0.30150E-03     0.97620E-06
       2198    2205.12    2206.13     0.30417E-03     0.98051E-06
       2199    2206.13    2207.14     0.30750E-03     0.98097E-06
       2200    2207.14    2208.14     0.31250E-03     0.99398E-06
       2201    2208.14    2209.15     0.31679E-03     0.10005E-05
       2202    2209.15    2210.16     0.32023E-03     0.10061E-05
       2203    2210.16    2211.16     0.31913E-03     0.99951E-06
       2204    2211.16    2212.17     0.31968E-03     0.10051E-05
       2205    2212.17    2213.18     0.31616E-03     0.99977E-06
       2206    2213.18    2214.18     0.31348E-03     0.99541E-06
       2207    2214.18    2215.19     0.30811E-03     0.98183E-06
       2208    2215.19    2216.20     0.31328E-03     0.99520E-06
       2209    2216.20    2217.20     0.31181E-03     0.99276E-06
       2210    2217.20    2218.21     0.31618E-03     0.99956E-06
       2211    2218.21    2219.21     0.32301E-03     0.10056E-05
       2212    2219.21    2220.22     0.34076E-03     0.10378E-05
       2213    2220.22    2221.23     0.35680E-03     0.10618E-05
       2214    2221.23    2222.23     0.36454E-03     0.10735E-05
       2215    2222.23    2223.24     0.34805E-03     0.10436E-05
       2216    2223.24    2224.25     0.31977E-03     0.10052E-05
       2217    2224.25    2225.25     0.28945E-03     0.95660E-06
       2218    2225.25    2226.26     0.27495E-03     0.93222E-06
       2219    2226.26    2227.27     0.26798E-03     0.91577E-06
       2220    2227.27    2228.27     0.26759E-03     0.91968E-06
       2221    2228.27    2229.28     0.26661E-03     0.91798E-06
       2222    2229.28    2230.29     0.26579E-03     0.91657E-06
       2223    2230.29    2231.29     0.26494E-03     0.91057E-06
       2224    2231.29    2232.30     0.26830E-03     0.92089E-06
       2225    2232.30    2233.31     0.26450E-03     0.91434E-06
       2226    2233.31    2234.31     0.26840E-03     0.92106E-06
       2227    2234.31    2235.32     0.26835E-03     0.92098E-06
       2228    2235.32    2236.33     0.26626E-03     0.91283E-06
       2229    2236.33    2237.33     0.27104E-03     0.92558E-06
       2230    2237.33    2238.34     0.27468E-03     0.93177E-06
       2231    2238.34    2239.34     0.27923E-03     0.93946E-06
       2232    2239.34    2240.35     0.27792E-03     0.93259E-06
       2233    2240.35    2241.36     0.28366E-03     0.94687E-06
       2234    2241.36    2242.36     0.28359E-03     0.94676E-06
       2235    2242.36    2243.37     0.27821E-03     0.93773E-06
       2236    2243.37    2244.38     0.27060E-03     0.92022E-06
       2237    2244.38    2245.38     0.26805E-03     0.92046E-06
       2238    2245.38    2246.39     0.26599E-03     0.91690E-06
       2239    2246.39    2247.40     0.26562E-03     0.91628E-06
       2240    2247.40    2248.40     0.26095E-03     0.90367E-06
       2241    2248.40    2249.41     0.26359E-03     0.91277E-06
       2242    2249.41    2250.42     0.26138E-03     0.90893E-06
       2243    2250.42    2251.42     0.26199E-03     0.91001E-06
       2244    2251.42    2252.43     0.25828E-03     0.89905E-06
       2245    2252.43    2253.44     0.26256E-03     0.91100E-06
       2246    2253.44    2254.44     0.26075E-03     0.90784E-06
       2247    2254.44    2255.45     0.26398E-03     0.91345E-06
       2248    2255.45    2256.45     0.25805E-03     0.89864E-06
       2249    2256.45    2257.46     0.26052E-03     0.90743E-06
       2250    2257.46    2258.47     0.25996E-03     0.90647E-06
       2251    2258.47    2259.47     0.26086E-03     0.90802E-06
       2252    2259.47    2260.48     0.25675E-03     0.89638E-06
       2253    2260.48    2261.49     0.26162E-03     0.90936E-06
       2254    2261.49    2262.49     0.25752E-03     0.90219E-06
       2255    2262.49    2263.50     0.26061E-03     0.90771E-06
       2256    2263.50    2264.51     0.25484E-03     0.89293E-06
       2257    2264.51    2265.51     0.25961E-03     0.90586E-06
       2258    2265.51    2266.52     0.25794E-03     0.90305E-06
       2259    2266.52    2267.53     0.25849E-03     0.90379E-06
       2260    2267.53    2268.53     0.25466E-03     0.89273E-06
       2261    2268.53    2269.54     0.25867E-03     0.90432E-06
       2262    2269.54    2270.55     0.25681E-03     0.90084E-06
       2263    2270.55    2271.55     0.25733E-03     0.90187E-06
       2264    2271.55    2272.56     0.25286E-03     0.88968E-06
       2265    2272.56    2273.57     0.25681E-03     0.90095E-06
       2266    2273.57    2274.57     0.25677E-03     0.90077E-06
       2267    2274.57    2275.58     0.25622E-03     0.90004E-06
       2268    2275.58    2276.58     0.25699E-03     0.90126E-06
       2269    2276.58    2277.59     0.25344E-03     0.89059E-06
       2270    2277.59    2278.60     0.25686E-03     0.90104E-06
       2271    2278.60    2279.60     0.25528E-03     0.89827E-06
       2272    2279.60    2280.61     0.25789E-03     0.90286E-06
       2273    2280.61    2281.62     0.25449E-03     0.89243E-06
       2274    2281.62    2282.62     0.25578E-03     0.89916E-06
       2275    2282.62    2283.63     0.25655E-03     0.90051E-06
       2276    2283.63    2284.64     0.25645E-03     0.90034E-06
       2277    2284.64    2285.64     0.25193E-03     0.88793E-06
       2278    2285.64    2286.65     0.25359E-03     0.89530E-06
       2279    2286.65    2287.66     0.25591E-03     0.89938E-06
       2280    2287.66    2288.66     0.25588E-03     0.89933E-06
       2281    2288.66    2289.67     0.25326E-03     0.89026E-06
       2282    2289.67    2290.68     0.25541E-03     0.89850E-06
       2283    2290.68    2291.68     0.25768E-03     0.90248E-06
       2284    2291.68    2292.69     0.25749E-03     0.90216E-06
       2285    2292.69    2293.69     0.25719E-03     0.89715E-06
       2286    2293.69    2294.70     0.25808E-03     0.90318E-06
       2287    2294.70    2295.71     0.26146E-03     0.90908E-06
       2288    2295.71    2296.71     0.26353E-03     0.91267E-06
       2289    2296.71    2297.72     0.26251E-03     0.90638E-06
       2290    2297.72    2298.73     0.26757E-03     0.91965E-06
       2291    2298.73    2299.73     0.26546E-03     0.91601E-06
       2292    2299.73    2300.74     0.26200E-03     0.91003E-06
       2293    2300.74    2301.75     0.25680E-03     0.89647E-06
       2294    2301.75    2302.75     0.25684E-03     0.90101E-06
       2295    2302.75    2303.76     0.25455E-03     0.89698E-06
       2296    2303.76    2304.77     0.25580E-03     0.89919E-06
       2297    2304.77    2305.77     0.25287E-03     0.88959E-06
       2298    2305.77    2306.78     0.25477E-03     0.89737E-06
       2299    2306.78    2307.79     0.25651E-03     0.90042E-06
       2300    2307.79    2308.79     0.25601E-03     0.89956E-06
       2301    2308.79    2309.80     0.25495E-03     0.89323E-06
       2302    2309.80    2310.80     0.25799E-03     0.90303E-06
       2303    2310.80    2311.81     0.25727E-03     0.90176E-06
       2304    2311.81    2312.82     0.25685E-03     0.90103E-06
       2305    2312.82    2313.82     0.25408E-03     0.89615E-06
       2306    2313.82    2314.83     0.25008E-03     0.88467E-06
       2307    2314.83    2315.84     0.25130E-03     0.89124E-06
       2308    2315.84    2316.84     0.25123E-03     0.89112E-06
       2309    2316.84    2317.85     0.25232E-03     0.89305E-06
       2310    2317.85    2318.86     0.24762E-03     0.88030E-06
       2311    2318.86    2319.86     0.25096E-03     0.89074E-06
       2312    2319.86    2320.87     0.24847E-03     0.88611E-06
       2313    2320.87    2321.88     0.24731E-03     0.88415E-06
       2314    2321.88    2322.88     0.24535E-03     0.87638E-06
       2315    2322.88    2323.89     0.24542E-03     0.88065E-06
       2316    2323.89    2324.90     0.24758E-03     0.88462E-06
       2317    2324.90    2325.90     0.24616E-03     0.88219E-06
       2318    2325.90    2326.91     0.24282E-03     0.87163E-06
       2319    2326.91    2327.91     0.24628E-03     0.88240E-06
       2320    2327.91    2328.92     0.24664E-03     0.88295E-06
       2321    2328.92    2329.93     0.24397E-03     0.87804E-06
       2322    2329.93    2330.93     0.24177E-03     0.86993E-06
       2323    2330.93    2331.94     0.24607E-03     0.88192E-06
       2324    2331.94    2332.95     0.24485E-03     0.87962E-06
       2325    2332.95    2333.95     0.24608E-03     0.88204E-06
       2326    2333.95    2334.96     0.24148E-03     0.86932E-06
       2327    2334.96    2335.97     0.24562E-03     0.88100E-06
       2328    2335.97    2336.97     0.24478E-03     0.87970E-06
       2329    2336.97    2337.98     0.24294E-03     0.87628E-06
       2330    2337.98    2338.99     0.24191E-03     0.87008E-06
       2331    2338.99    2339.99     0.24525E-03     0.88045E-06
       2332    2339.99    2341.00     0.24485E-03     0.87974E-06
       2333    2341.00    2342.01     0.24275E-03     0.87594E-06
       2334    2342.01    2343.01     0.24021E-03     0.86702E-06
       2335    2343.01    2344.02     0.24480E-03     0.87964E-06
       2336    2344.02    2345.02     0.24342E-03     0.87717E-06
       2337    2345.02    2346.03     0.24431E-03     0.87877E-06
       2338    2346.03    2347.04     0.24093E-03     0.86832E-06
       2339    2347.04    2348.04     0.24232E-03     0.87517E-06
       2340    2348.04    2349.05     0.24117E-03     0.87309E-06
       2341    2349.05    2350.06     0.24327E-03     0.87690E-06
       2342    2350.06    2351.06     0.24283E-03     0.87611E-06
       2343    2351.06    2352.07     0.24014E-03     0.86689E-06
       2344    2352.07    2353.08     0.24151E-03     0.87371E-06
       2345    2353.08    2354.08     0.24008E-03     0.87112E-06
       2346    2354.08    2355.09     0.24064E-03     0.87213E-06
       2347    2355.09    2356.10     0.23970E-03     0.86612E-06
       2348    2356.10    2357.10     0.24153E-03     0.87373E-06
       2349    2357.10    2358.11     0.24382E-03     0.87789E-06
       2350    2358.11    2359.12     0.24134E-03     0.87343E-06
       2351    2359.12    2360.12     0.23835E-03     0.86367E-06
       2352    2360.12    2361.13     0.24010E-03     0.87116E-06
       2353    2361.13    2362.13     0.24200E-03     0.87459E-06
       2354    2362.13    2363.14     0.24016E-03     0.87127E-06
       2355    2363.14    2364.15     0.23670E-03     0.86068E-06
       2356    2364.15    2365.15     0.24163E-03     0.87392E-06
       2357    2365.15    2366.16     0.24050E-03     0.87189E-06
       2358    2366.16    2367.17     0.24032E-03     0.87156E-06
       2359    2367.17    2368.17     0.24003E-03     0.86671E-06
       2360    2368.17    2369.18     0.24101E-03     0.87282E-06
       2361    2369.18    2370.19     0.24124E-03     0.87323E-06
       2362    2370.19    2371.19     0.24254E-03     0.87558E-06
       2363    2371.19    2372.20     0.24076E-03     0.86803E-06
       2364    2372.20    2373.21     0.24492E-03     0.87986E-06
       2365    2373.21    2374.21     0.24545E-03     0.88081E-06
       2366    2374.21    2375.22     0.24166E-03     0.87397E-06
       2367    2375.22    2376.23     0.24123E-03     0.86887E-06
       2368    2376.23    2377.23     0.23974E-03     0.87051E-06
       2369    2377.23    2378.24     0.23874E-03     0.86878E-06
       2370    2378.24    2379.24     0.23772E-03     0.86672E-06
       2371    2379.24    2380.25     0.23496E-03     0.85751E-06
       2372    2380.25    2381.26     0.23764E-03     0.86681E-06
       2373    2381.26    2382.26     0.23799E-03     0.86723E-06
       2374    2382.26    2383.27     0.23478E-03     0.86147E-06
       2375    2383.27    2384.28     0.23333E-03     0.85464E-06
       2376    2384.28    2385.28     0.23451E-03     0.86097E-06
       2377    2385.28    2386.29     0.23536E-03     0.86242E-06
       2378    2386.29    2387.30     0.23519E-03     0.86232E-06
       2379    2387.30    2388.30     0.23468E-03     0.85700E-06
       2380    2388.30    2389.31     0.23600E-03     0.86367E-06
       2381    2389.31    2390.32     0.23517E-03     0.86218E-06
       2382    2390.32    2391.32     0.23256E-03     0.85739E-06
       2383    2391.32    2392.33     0.23391E-03     0.85986E-06
       2384    2392.33    2393.33     0.23130E-03     0.85079E-06
       2385    2393.33    2394.34     0.23292E-03     0.85802E-06
       2386    2394.34    2395.35     0.23185E-03     0.85607E-06
       2387    2395.35    2396.35     0.23386E-03     0.85976E-06
       2388    2396.35    2397.36     0.23149E-03     0.85117E-06
       2389    2397.36    2398.37     0.23399E-03     0.86001E-06
       2390    2398.37    2399.37     0.23378E-03     0.85961E-06
       2391    2399.37    2400.38     0.23171E-03     0.85581E-06
       2392    2400.38    2401.39     0.22917E-03     0.84687E-06
       2393    2401.39    2402.39     0.23226E-03     0.85682E-06
       2394    2402.39    2403.40     0.23362E-03     0.85932E-06
       2395    2403.40    2404.41     0.23371E-03     0.85949E-06
       2396    2404.41    2405.41     0.22833E-03     0.84533E-06
       2397    2405.41    2406.42     0.23049E-03     0.85354E-06
       2398    2406.42    2407.43     0.23280E-03     0.85782E-06
       2399    2407.43    2408.43     0.23198E-03     0.85631E-06
       2400    2408.43    2409.44     0.22876E-03     0.84611E-06
       2401    2409.44    2410.44     0.23231E-03     0.85692E-06
       2402    2410.44    2411.45     0.23188E-03     0.85613E-06
       2403    2411.45    2412.46     0.23228E-03     0.85686E-06
       2404    2412.46    2413.46     0.22953E-03     0.84754E-06
       2405    2413.46    2414.47     0.23218E-03     0.85668E-06
       2406    2414.47    2415.48     0.23126E-03     0.85499E-06
       2407    2415.48    2416.48     0.23062E-03     0.85379E-06
       2408    2416.48    2417.49     0.22965E-03     0.84775E-06
       2409    2417.49    2418.50     0.22993E-03     0.85251E-06
       2410    2418.50    2419.50     0.23182E-03     0.85601E-06
       2411    2419.50    2420.51     0.23190E-03     0.85617E-06
       2412    2420.51    2421.52     0.22987E-03     0.84818E-06
       2413    2421.52    2422.52     0.23032E-03     0.85322E-06
       2414    2422.52    2423.53     0.22946E-03     0.85164E-06
       2415    2423.53    2424.54     0.22918E-03     0.85113E-06
       2416    2424.54    2425.54     0.22611E-03     0.84121E-06
       2417    2425.54    2426.55     0.23107E-03     0.85462E-06
       2418    2426.55    2427.55     0.22855E-03     0.84996E-06
       2419    2427.55    2428.56     0.22746E-03     0.84791E-06
       2420    2428.56    2429.57     0.22950E-03     0.85172E-06
       2421    2429.57    2430.57     0.22760E-03     0.84398E-06
       2422    2430.57    2431.58     0.22878E-03     0.85048E-06
       2423    2431.58    2432.59     0.22646E-03     0.84596E-06
       2424    2432.59    2433.59     0.23071E-03     0.85395E-06
       2425    2433.59    2434.60     0.22734E-03     0.84360E-06
       2426    2434.60    2435.61     0.22893E-03     0.85056E-06
       2427    2435.61    2436.61     0.23112E-03     0.85471E-06
       2428    2436.61    2437.62     0.23104E-03     0.85467E-06
       2429    2437.62    2438.63     0.22564E-03     0.84023E-06
       2430    2438.63    2439.63     0.22701E-03     0.84718E-06
       2431    2439.63    2440.64     0.22676E-03     0.84663E-06
       2432    2440.64    2441.65     0.22745E-03     0.84779E-06
       2433    2441.65    2442.65     0.22375E-03     0.83691E-06
       2434    2442.65    2443.66     0.22613E-03     0.84544E-06
       2435    2443.66    2444.66     0.22562E-03     0.84439E-06
       2436    2444.66    2445.67     0.22631E-03     0.84587E-06
       2437    2445.67    2446.68     0.22294E-03     0.83529E-06
       2438    2446.68    2447.68     0.22587E-03     0.84485E-06
       2439    2447.68    2448.69     0.22378E-03     0.84115E-06
       2440    2448.69    2449.70     0.22438E-03     0.84215E-06
       2441    2449.70    2450.70     0.22131E-03     0.83223E-06
       2442    2450.70    2451.71     0.22310E-03     0.83975E-06
       2443    2451.71    2452.72     0.22367E-03     0.84083E-06
       2444    2452.72    2453.72     0.22475E-03     0.84285E-06
       2445    2453.72    2454.73     0.22105E-03     0.83174E-06
       2446    2454.73    2455.74     0.22442E-03     0.84222E-06
       2447    2455.74    2456.74     0.22398E-03     0.84141E-06
       2448    2456.74    2457.75     0.22260E-03     0.83881E-06
       2449    2457.75    2458.75     0.22211E-03     0.83373E-06
       2450    2458.75    2459.76     0.22386E-03     0.84120E-06
       2451    2459.76    2460.77     0.22392E-03     0.84131E-06
       2452    2460.77    2461.77     0.22289E-03     0.83936E-06
       2453    2461.77    2462.78     0.22023E-03     0.83020E-06
       2454    2462.78    2463.79     0.22417E-03     0.84176E-06
       2455    2463.79    2464.79     0.22313E-03     0.83981E-06
       2456    2464.79    2465.80     0.22390E-03     0.84128E-06
       2457    2465.80    2466.81     0.22044E-03     0.83058E-06
       2458    2466.81    2467.81     0.22329E-03     0.84012E-06
       2459    2467.81    2468.82     0.22358E-03     0.84067E-06
       2460    2468.82    2469.83     0.22121E-03     0.83617E-06
       2461    2469.83    2470.83     0.22078E-03     0.83539E-06
       2462    2470.83    2471.84     0.22094E-03     0.83154E-06
       2463    2471.84    2472.85     0.22276E-03     0.83912E-06
       2464    2472.85    2473.85     0.22195E-03     0.83760E-06
       2465    2473.85    2474.86     0.22291E-03     0.83940E-06
       2466    2474.86    2475.86     0.21848E-03     0.82688E-06
       2467    2475.86    2476.87     0.22172E-03     0.83715E-06
       2468    2476.87    2477.88     0.22218E-03     0.83802E-06
       2469    2477.88    2478.88     0.22215E-03     0.83797E-06
       2470    2478.88    2479.89     0.21915E-03     0.82817E-06
       2471    2479.89    2480.90     0.22164E-03     0.83699E-06
       2472    2480.90    2481.90     0.22222E-03     0.83810E-06
       2473    2481.90    2482.91     0.22215E-03     0.83796E-06
       2474    2482.91    2483.92     0.22008E-03     0.82991E-06
       2475    2483.92    2484.92     0.22389E-03     0.84124E-06
       2476    2484.92    2485.93     0.22341E-03     0.84033E-06
       2477    2485.93    2486.94     0.22369E-03     0.84087E-06
       2478    2486.94    2487.94     0.22247E-03     0.83440E-06
       2479    2487.94    2488.95     0.22509E-03     0.84349E-06
       2480    2488.95    2489.96     0.22536E-03     0.84410E-06
       2481    2489.96    2490.96     0.22519E-03     0.84357E-06
       2482    2490.96    2491.97     0.22230E-03     0.83410E-06
       2483    2491.97    2492.97     0.22715E-03     0.84744E-06
       2484    2492.97    2493.98     0.22725E-03     0.84741E-06
       2485    2493.98    2494.99     0.22566E-03     0.84457E-06
       2486    2494.99    2495.99     0.22301E-03     0.83551E-06
       2487    2495.99    2497.00     0.22901E-03     0.85081E-06
       2488    2497.00    2498.01     0.22734E-03     0.84760E-06
       2489    2498.01    2499.01     0.22627E-03     0.84581E-06
       2490    2499.01    2500.02     0.22351E-03     0.83635E-06
       2491    2500.02    2501.03     0.22838E-03     0.84953E-06
       2492    2501.03    2502.03     0.23072E-03     0.85406E-06
       2493    2502.03    2503.04     0.23133E-03     0.85510E-06
       2494    2503.04    2504.05     0.22781E-03     0.84435E-06
       2495    2504.05    2505.05     0.23216E-03     0.85664E-06
       2496    2505.05    2506.06     0.23275E-03     0.85771E-06
       2497    2506.06    2507.07     0.23290E-03     0.85799E-06
       2498    2507.07    2508.07     0.23328E-03     0.85445E-06
       2499    2508.07    2509.08     0.23633E-03     0.86430E-06
       2500    2509.08    2510.08     0.23482E-03     0.86153E-06
       2501    2510.08    2511.09     0.23201E-03     0.85636E-06
       2502    2511.09    2512.10     0.22764E-03     0.84826E-06
       2503    2512.10    2513.10     0.22510E-03     0.83933E-06
       2504    2513.10    2514.11     0.22570E-03     0.84464E-06
       2505    2514.11    2515.12     0.22455E-03     0.84247E-06
       2506    2515.12    2516.12     0.22416E-03     0.84173E-06
       2507    2516.12    2517.13     0.21997E-03     0.82970E-06
       2508    2517.13    2518.14     0.22389E-03     0.84126E-06
       2509    2518.14    2519.14     0.22198E-03     0.83764E-06
       2510    2519.14    2520.15     0.22076E-03     0.83536E-06
       2511    2520.15    2521.16     0.21755E-03     0.82514E-06
       2512    2521.16    2522.16     0.21933E-03     0.83263E-06
       2513    2522.16    2523.17     0.21912E-03     0.83221E-06
       2514    2523.17    2524.17     0.21750E-03     0.82915E-06
       2515    2524.17    2525.18     0.21464E-03     0.81959E-06
       2516    2525.18    2526.19     0.21723E-03     0.82863E-06
       2517    2526.19    2527.19     0.21570E-03     0.82570E-06
       2518    2527.19    2528.20     0.21368E-03     0.82183E-06
       2519    2528.20    2529.21     0.21360E-03     0.81760E-06
       2520    2529.21    2530.21     0.21499E-03     0.82436E-06
       2521    2530.21    2531.22     0.21532E-03     0.82500E-06
       2522    2531.22    2532.23     0.21321E-03     0.82092E-06
       2523    2532.23    2533.23     0.21281E-03     0.81608E-06
       2524    2533.23    2534.24     0.21335E-03     0.82119E-06
       2525    2534.24    2535.25     0.21489E-03     0.82415E-06
       2526    2535.25    2536.25     0.21405E-03     0.82255E-06
       2527    2536.25    2537.26     0.21110E-03     0.81280E-06
       2528    2537.26    2538.27     0.21195E-03     0.81850E-06
       2529    2538.27    2539.27     0.21238E-03     0.81934E-06
       2530    2539.27    2540.28     0.21135E-03     0.81735E-06
       2531    2540.28    2541.28     0.21158E-03     0.81373E-06
       2532    2541.28    2542.29     0.21334E-03     0.82117E-06
       2533    2542.29    2543.30     0.21227E-03     0.81923E-06
       2534    2543.30    2544.30     0.21258E-03     0.81963E-06
       2535    2544.30    2545.31     0.20957E-03     0.80984E-06
       2536    2545.31    2546.32     0.21208E-03     0.81886E-06
       2537    2546.32    2547.32     0.21100E-03     0.81656E-06
