  DATA CHANNELS:                                            
         ch      emin -        emax         data    +-      
        145     136.47     137.47     0.17216E-01     0.73653E-05
        146     137.47     138.48     0.17158E-01     0.73163E-05
        147     138.48     139.49     0.19748E-01     0.78887E-05
        148     139.49     140.50     0.22372E-01     0.83962E-05
        149     140.50     141.51     0.19045E-01     0.77465E-05
        150     141.51     142.52     0.16434E-01     0.71606E-05
        151     142.52     143.53     0.17097E-01     0.73397E-05
        152     143.53     144.54     0.16943E-01     0.73067E-05
        153     144.54     145.55     0.15653E-01     0.70232E-05
        154     145.55     146.56     0.14887E-01     0.68149E-05
        155     146.56     147.57     0.14872E-01     0.68460E-05
        156     147.57     148.58     0.14645E-01     0.67931E-05
        157     148.58     149.59     0.14425E-01     0.67420E-05
        158     149.59     150.60     0.14236E-01     0.66981E-05
        159     150.60     151.61     0.13984E-01     0.66052E-05
        160     151.61     152.62     0.13958E-01     0.66319E-05
        161     152.62     153.63     0.13763E-01     0.65859E-05
        162     153.63     154.64     0.13526E-01     0.65284E-05
        163     154.64     155.65     0.13272E-01     0.64349E-05
        164     155.65     156.66     0.13294E-01     0.64725E-05
        165     156.66     157.67     0.13123E-01     0.64305E-05
        166     157.67     158.68     0.13139E-01     0.64344E-05
        167     158.68     159.69     0.13320E-01     0.64467E-05
        168     159.69     160.69     0.13088E-01     0.64219E-05
        169     160.69     161.70     0.12515E-01     0.62799E-05
        170     161.70     162.71     0.12290E-01     0.62231E-05
        171     162.71     163.72     0.12139E-01     0.61541E-05
        172     163.72     164.73     0.12064E-01     0.61658E-05
        173     164.73     165.74     0.11868E-01     0.61153E-05
        174     165.74     166.75     0.11740E-01     0.60822E-05
        175     166.75     167.76     0.11554E-01     0.60043E-05
        176     167.76     168.77     0.11535E-01     0.60289E-05
        177     168.77     169.78     0.11431E-01     0.60017E-05
        178     169.78     170.79     0.11292E-01     0.59653E-05
        179     170.79     171.80     0.11086E-01     0.58811E-05
        180     171.80     172.81     0.11060E-01     0.59036E-05
        181     172.81     173.82     0.10966E-01     0.58787E-05
        182     173.82     174.83     0.11006E-01     0.58890E-05
        183     174.83     175.84     0.10961E-01     0.58481E-05
        184     175.84     176.85     0.10903E-01     0.58616E-05
        185     176.85     177.86     0.10661E-01     0.57963E-05
        186     177.86     178.87     0.10448E-01     0.57384E-05
        187     178.87     179.88     0.10237E-01     0.56516E-05
        188     179.88     180.88     0.10215E-01     0.56737E-05
        189     180.88     181.89     0.10103E-01     0.56428E-05
        190     181.89     182.90     0.10003E-01     0.56145E-05
        191     182.90     183.91     0.10033E-01     0.55951E-05
        192     183.91     184.92     0.10818E-01     0.58391E-05
        193     184.92     185.93     0.12272E-01     0.62186E-05
        194     185.93     186.94     0.11896E-01     0.61232E-05
        195     186.94     187.95     0.10107E-01     0.56437E-05
        196     187.95     188.96     0.93746E-02     0.54084E-05
        197     188.96     189.97     0.93087E-02     0.54164E-05
        198     189.97     190.98     0.92020E-02     0.53850E-05
        199     190.98     191.99     0.91852E-02     0.53801E-05
