IP LinLin

DP 0  317
DP 1  279
DP 2  251
DP 3  188
DP 4  140
DP 5  120
DP 6  81
DP 7  51
DP 8  28
DP 9  20
DP 10  16
DP 11  4
DP 12  8
DP 13  13
DP 14  8
DP 15  14
DP 16  20
DP 17  34
DP 18  49
DP 19  79
DP 20  108
DP 21  120
DP 22  191
DP 23  222
DP 24  284
DP 25  343
DP 26  335
DP 27  395
DP 28  343
DP 29  367
DP 30  309
DP 31  265
DP 32  262
DP 33  190
DP 34  161
DP 35  151
DP 36  229
DP 37  480
DP 38  843
DP 39  956
DP 40  676
DP 41  339
DP 42  194
DP 43  155
DP 44  188
DP 45  198
DP 46  230
DP 47  263
DP 48  253
DP 49  277
DP 50  266
DP 51  275
DP 52  293
DP 53  253
DP 54  243
DP 55  232
DP 56  222
DP 57  180
DP 58  181
DP 59  188
DP 60  150
DP 61  212
DP 62  182
DP 63  185
DP 64  191
DP 65  200
DP 66  225
DP 67  209
DP 68  207
DP 69  219
DP 70  211
DP 71  194
DP 72  212
DP 73  167
DP 74  148
DP 75  150
DP 76  163
DP 77  147
DP 78  146
DP 79  103
DP 80  93
DP 81  91
DP 82  90
DP 83  58
DP 84  81
DP 85  71
DP 86  88
DP 87  116
DP 88  150
DP 89  230
DP 90  385
DP 91  602
DP 92  532
DP 93  349
DP 94  277
DP 95  265
DP 96  271
DP 97  239
DP 98  187
DP 99  155
DP 100  105
DP 101  85
DP 102  89
DP 103  84
DP 104  73
DP 105  77
DP 106  105
DP 107  147
DP 108  185
DP 109  224
DP 110  283
DP 111  363
DP 112  406
DP 113  601
DP 114  724
DP 115  1007
DP 116  1260
DP 117  1408
DP 118  1286
DP 119  1143
DP 120  872
DP 121  579
DP 122  445
DP 123  398
DP 124  335
DP 125  294
DP 126  285
DP 127  254
DP 128  276
DP 129  253
DP 130  229
DP 131  253
DP 132  251
DP 133  294
DP 134  273
DP 135  332
DP 136  293
DP 137  358
DP 138  301
DP 139  309
DP 140  335
DP 141  356
DP 142  323
DP 143  335
DP 144  329
DP 145  300
DP 146  362
DP 147  638
DP 148  1468
DP 149  1732
DP 150  982
DP 151  353
DP 152  242
DP 153  205
DP 154  188
DP 155  231
DP 156  222
DP 157  235
DP 158  266
DP 159  287
DP 160  291
DP 161  331
DP 162  346
DP 163  331
DP 164  366
DP 165  327
DP 166  304
DP 167  267
DP 168  237
DP 169  218
DP 170  198
DP 171  230
DP 172  276
DP 173  406
DP 174  498
DP 175  562
DP 176  595
DP 177  473
DP 178  348
DP 179  257
DP 180  183
DP 181  169
DP 182  161
DP 183  178
DP 184  204
DP 185  254
DP 186  320
DP 187  367
DP 188  487
DP 189  568
DP 190  634
DP 191  548
DP 192  561
DP 193  569
DP 194  531
DP 195  499
DP 196  518
DP 197  464
DP 198  470
DP 199  465
DP 200  365
EN
