trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
3153,4B 940902-,  32.032,  -2.10,  -2.68,529,   0.62
5499,4B 960615-,   0.624,  -0.77,  -9.54,637,   0.67
2485,4B 930809-,   0.176,  -1.77,  -5.77,37.3,   0.29
6331,GRB 970809-,   2.432,  -0.18,  -2.82,81.5,   0.79
3569,4B 950510,  21.024,  -1.60,  -2.44,178,   1.62
7603,GRB 990611-,   9.280,  -1.36,  -2.17,133,   0.74
1552,4B 920414-,  48.320,  -1.25,  -2.29,81.3,   0.41
6583,GRB 980129,  39.232,  -1.00,  -2.75,143,   1.02
3084,4B 940716-,   9.600,  -1.36,  -2.36,222,   1.16
3351,4B 950111-, 102.912,  -1.93,  -3.20,1380,   1.08
1656,4B 920619-, 182.784,  -1.91,  -6.31,768,   0.79
3771,4B 950830-, 132.256,  -0.94,  -1.93,132,   0.40
5724,GRB 961224-,   1.280,  -0.14,  -2.15,479,   0.72
677,4B 910814-,   0.055,   0.32,  -3.50,488,   0.47
4710,4B 960202,   9.984,  -0.97,  -4.37,173,   1.31
6308,GRB 970715,  18.880,  -1.33, -14.90,694,   0.31
1651,4B 920617-,   8.512,  -1.91,  -5.17,1350,   1.43
673,4B 910813,  27.456,   0.78, -10.36,120,   0.32
7841,GRB 991105,  50.368,  -1.91,  -7.33,1140,   0.69
2767,4B 940118,  33.216,  -1.78,  -1.63,944,   0.54
6432,GRB 971013-,  32.256,  -0.60,  -2.45,172,   0.62
6616,GRB 980226,  34.688,  -1.48,  -7.63,1910,   0.30
7597,GRB 990604-,  52.096,  -1.25, -18.63,302,   0.42
6236,GRB 970519,,   0.08,  -1.55,173,   0.31
7178,GRB 981027,  52.416,  -0.64,  -2.67,67.3,   0.89
704,4B 910821,  45.888,  -0.88,  -2.07,270,   0.47
2324,4B 930503-,  92.704,  -0.45,  -3.08,146,   0.45
8054,GRB 000326-,  21.248,  -1.42,  -2.54,401,   0.50
5470,4B 960523-,  30.400,  -0.96,  -2.28,1150,   1.02
7780,GRB 990930, 116.032,  -1.44,  -2.13,86.4,   0.33
5597,GRB 960908,  31.168,  -1.43,  -2.19,423,   1.04
2069,4B 921127,  48.384,  -1.70,  -1.75,416,   0.31
3516,4B 950421,  19.200,  -1.15,  -2.10,310,   1.60
