trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
7390,GRB 990216,  76.416,  -0.49,  -2.76,180,   1.03
6566,GRB 980110,  87.616,  -1.27,  -2.50,59.5,   0.61
4660,4B 960130,   1.168,  -0.36, -18.63,572,   1.50
2327,4B 930503-,   2.496,  -1.82,  -7.63,1910,   0.50
2634,4B 931114,  58.656,  -1.29,  -2.02,66.1,   0.85
3101,4B 940728-,  37.376,  -0.81,  -2.03,125,   1.34
5603,GRB 960913-,  51.968,  -1.23,  -2.22,836,   0.49
2297,4B 930409-,,  -0.98,  -5.00,122,   1.87
829,4B 910927-,  17.344,  -0.27,  -3.51,119,   2.77
2149,4B 930127-,  80.128,  -2.27,  -2.27,549,   1.63
2049,4B 921111-,   0.128,   0.45, -23.28,352,   0.17
8120,GRB 000525,   1.408,  -0.60, -18.63,667,   0.93
7378,GRB 990208-,   1.247,  -0.64, -15.33,1210,   2.89
3736,4B 950805-,   0.560,  -0.87,  -2.34,740,   3.24
2429,4B 930705-,  86.240,  -0.46,  -2.39,120,   0.71
3324,4B 941222,  37.824,  -0.46, -14.90,156,   0.29
2913,4B 940406,  22.912,  -0.90,  -2.87,127,   1.69
2070,4B 921128,  55.232,   0.45,  -3.76,148,   0.28
5501,4B 960616-,   0.384,   1.25, -10.25,158,   0.26
7606,GRB 990614,  49.600,  -0.32,  -4.17,206,   0.34
2585,4B 931014-,   0.832,  -0.15,  -2.52,64.6,   0.68
6186,GRB 970416,  16.192,  -1.91,  -6.54,1280,   1.21
6649,GRB 980320,  16.448,  -2.03,  -2.46,271,   0.88
5642,GRB 961022-,,  -0.90,  -2.92,180,   1.38
6329,GRB 970807-,  37.632,  -1.12,  -2.56,209,   3.08
6697,GRB 980421-,   1.216,  -0.61, -18.63,378,   0.48
7575,GRB 990518-,  39.808,  -0.75,  -2.46,393,   3.32
6539,GRB 971220-,  13.632,  -0.69,  -4.78,1910,   0.97
6462,GRB 971104,   0.256,  -1.06,  -1.31,939,   0.39
6866,GRB 980624-,   0.384,   0.45, -23.28,183,   0.33
2508,4B 930901,  29.184,  -0.24,  -1.61,506,   0.27
6598,GRB 980213-,  17.472,  -0.11,  -2.25,74,   1.64
2922,4B 940412, 160.768,  -1.31,  -2.54,148,   1.02
6284,GRB 970628-,   0.208,  -0.36,  -7.00,811,   0.23
3278,4B 941110-,   1.408,  -0.16,  -7.63,637,   0.23
7521,GRB 990416,   6.656,  -1.43,  -3.32,43.4,   0.54
7727,GRB 990822-,  23.616,  -0.27,  -9.43,131,   1.75
1806,4B 920812-,  31.232,  -1.45, -23.28,108,   0.34
2346,4B 930518,  83.104,  -2.05,  -3.32,574,   0.75
2442,4B 930711-,  23.680,  -1.31, -13.65,110,   0.45
7357,GRB 990128-,  52.672,  -0.74,  -2.32,173,   0.43
6101,GRB 970224,  26.240,  -1.13,  -6.10,200,   1.00
1604,4B 920511-,  28.800,  -0.57,  -2.32,82.2,   0.40
2277,4B 930331-,  69.504,  -0.70,  -9.82,220,   0.61
5589,GRB 960830, 130.240,  -0.79,  -2.80,72,   0.55
2219,4B 930305-,  11.200,  -1.91,  -4.58,1140,   0.88
6102,GRB 970226-,  60.480,  -1.91,  -7.63,1140,   0.47
6447,GRB 971023-,   1.024,  -1.22, -14.90,674,   0.33
3071,4B 940710-,  71.328,  -1.37,  -2.22,188,   0.64
394,4B 910619, 106.112,  -1.12,  -2.09,269,   1.57
1473,4B 920311,,  -1.15,  -2.61,497,   2.53
1698,4B 920714-,  28.416,  -0.73,  -2.66,189,   4.00
3220,4B 941006, 100.448,  -0.41,  -1.88,119,   0.45
5706,GRB 961206, 152.000,  -1.39, -18.63,271,   0.72
6824,GRB 980614,  10.176,  -0.66,  -1.83,738,   0.89
1740,4B 920803-,  63.616,  -0.03,  -1.68,162,   0.24
3336,4B 941230-, 152.800,  -0.88,  -3.20,175,   0.63
8101,GRB 000511-, 115.008,  -0.71,  -3.54,316,   1.10
680,4B 910815,  10.944,  -0.41,  -2.79,101,   0.71
4095,4B 951224,   4.512,  -1.61,  -9.29,78.2,   0.86
603,4B 910802-,   1.472,  -1.01,  -9.54,350,   0.92
5666,GRB 961111-,,  -0.92,  -1.56,723,   0.69
3929,4B 951202,  28.544,  -1.29,  -3.64,437,   1.87
799,4B 910916,   0.173,  -0.69, -23.28,198,   0.22
6372,GRB 970908-,   0.768,   0.56,  -5.03,251,   0.26
2774,4B 940120-,  55.136,  -1.91,  -4.07,1350,   0.62
269,4B 910604,,  -1.04,  -9.61,246,   0.82
3523,4B 950425,  59.072,  -0.73,  -2.20,735,   3.74
3892,4B 951102-,   3.904,  -2.04,  -3.47,1510,   3.40
2316,4B 930425-,  29.184,  -1.60,  -2.31,163,   2.60
5484,4B 960602,  64.576,  -1.20,  -2.56,302,   1.30
1008,4B 911106-,,  -0.49, -19.74,190,   4.66
3339,4B 950102-,  51.680,  -1.40,  -9.44,1840,   0.27
3350,4B 950110,  13.056,  -0.95, -14.90,150,   0.75
1515,4B 920323,  70.720,  -1.87,  -2.31,294,   0.58
3138,4B 940826,   5.184,  -1.21,  -3.30,165,   5.17
5569,4B 960810-,  24.832,  -0.80, -11.56,88.6,   0.63
218,4B 910521-,   1.173,  -0.30,  -3.12,316,   0.70
6519,GRB 971204, 131.008,  -0.77,  -2.20,465,   0.28
3068,4B 940709,   4.096,  -0.88,  -1.95,147,   0.60
3163,4B 940910-,  25.088,  -1.11,  -2.36,262,   2.00
1221,4B 911225-,   6.080,  -0.91,  -2.74,44,   1.27
7427,GRB 990225-,   0.399,   1.14,  -2.63,196,   0.42
2003,4B 921023-,   0.522,  -0.05,  -3.04,359,   0.28
3306,4B 941128-, 108.512,  -1.13,  -2.60,114,   1.08
5606,GRB 960917,  93.248,  -1.37, -14.18,358,   1.19
214,4B 910521-,  45.696,  -1.68, -24.37,38.7,   0.60
7885,GRB 991129-, 224.192,  -1.86,  -2.35,46.9,   0.30
2068,4B 921123-,   0.591,  -0.61, -10.87,243,   1.81
795,4B 910914,  58.432,  -1.68,  -1.44,876,   0.86
7298,GRB 990104-,  18.944,  -1.51, -18.63,169,   1.02
7663,GRB 990720,   0.945,   0.11,  -2.38,176,   1.40
3914,4B 951120-,  54.432,   2.79,  -2.30,150,   0.18
6314,GRB 970720,   6.656,  -0.91,  -1.14,704,   0.44
2452,4B 930721-,  22.976,  -0.95,  -3.21,76.3,   1.61
6315,GRB 970723,  37.248,  -0.88,  -2.51,90.4,   1.96
2044,4B 921109,   6.400,  -0.51,  -5.23,766,   0.44
559,4B 910721-,  34.176,   0.56,  -2.26,113,   0.18
414,4B 910622,  15.552,  -1.53,  -2.25,68.7,   0.48
3384,4B 950130,   0.056,  -1.24,  -1.93,544,   0.25
2122,4B 930106-, 120.640,  -1.47, -18.63,440,   1.09
3301,4B 941126-,  36.096,  -1.03,  -2.04,654,   1.00
5339,4B 960325-,   0.832,  -0.67, -16.14,1100,   4.33
2233,4B 930311,  14.208,   0.24,  -3.41,159,   0.18
2894,4B 940328,   3.776,  -0.53,  -2.21,187,   3.22
6600,GRB 980214-,   6.976,  -1.46,  -2.18,118,   0.87
2368,4B 930602-,   4.135,   0.24,  -1.87,166,   0.38
6592,GRB 980208-,  25.664,  -1.50,  -2.43,193,   0.84
3436,4B 950221-,  40.000,  -1.36,  -2.57,202,   1.44
3076,4B 940714-,  84.160,  -1.91,  -6.96,1740,   0.61
2536,4B 930922-,   0.128,   2.15,  -2.94,94.1,   0.14
734,4B 910828,   1.792,  -0.72,  -5.38,861,   0.50
2349,4B 930521,   4.032,  -0.51,  -2.14,108,   0.55
6444,GRB 971022,  44.928,  -0.90,  -2.20,88.2,   0.51
7734,GRB 990824-,   0.894,  -0.04, -18.63,241,   0.45
2103,4B 921219,   1.024,  -0.28,  -1.91,242,   0.36
2392,4B 930613,  20.480,  -1.91,  -4.35,1290,   0.81
3740,4B 950806-,  97.344,  -2.06,  -2.25,212,   0.50
3108,4B 940806-,,  -1.96,  -3.29,1610,   0.65
6943,GRB 980724-,,   0.66, -23.28,263,   0.19
1156,4B 911209-, 189.056,  -0.93,  -1.99,234,   0.52
6301,GRB 970709-,   0.960,  -0.33,  -2.35,614,   0.51
3039,4B 940622,   3.635,  -0.63,  -2.57,134,   0.98
4959,4B 960221,  31.328,  -0.36,  -1.75,132,   0.33
5669,GRB 961115,,  -1.14,  -9.85,163,   0.66
6419,GRB 971009-,  25.920,  -0.80, -26.80,76.2,   0.58
6621,GRB 980301-,  43.456,   0.29,  -2.31,55.2,   1.73
5504,4B 960617-,   7.680,  -1.36,  -4.99,68.9,   1.18
6083,GRB 970211-,  21.440,  -1.27,  -2.69,73,   0.85
2041,4B 921102-,   5.440,  -0.13,  -1.55,284,   0.79
5536,4B 960710,   0.048,  -1.64,  -3.08,296,   0.21
6104,GRB 970227-,  11.904,  -1.03, -25.74,60.2,   0.45
2123,4B 930108,  21.952,  -1.05,  -2.51,88.1,   1.42
6355,GRB 970902-,  29.184,  -1.17,  -3.33,114,   0.49
6695,GRB 980421-,  35.776,   0.67,  -2.28,236,   0.24
2993,4B 940526-,  44.800,  -1.10,  -1.64,1320,   1.04
7619,GRB 990625,  41.728,  -1.72,  -2.80,53.8,   0.85
803,4B 910918,   7.232,  -0.64,  -2.74,221,   1.04
2204,4B 930219-,  23.040,  -1.80,  -3.06,68.8,   0.44
1485,4B 920315-,,  -0.47,  -6.08,114,   0.25
8076,GRB 000415-,   0.218,   0.53, -18.63,474,   0.29
7432,GRB 990227,  15.680,  -0.34,  -5.37,147,   0.34
2828,4B 940216,   0.581,  -1.76,  -2.98,11.2,   0.47
3035,4B 940619,  88.448,  -1.08,  -2.48,215,   2.35
4368,4B 960114,  36.480,  -1.81, -16.79,120,  11.98
7617,GRB 990622-,  48.832,  -1.10,  -2.46,220,   0.77
6708,GRB 980426-,  12.160,   0.43,  -2.19,228,   0.58
3127,4B 940816,  13.088,  -1.28,  -6.88,42.3,   0.56
1413,4B 920218-,,  -1.06,  -2.73,130,   0.53
5305,4B 960322-,  31.584,  -1.02,  -2.50,68.9,   0.38
5631,GRB 961014,,  -0.10,  -2.66,76.5,   0.89
1223,4B 911226,   0.974,  -2.08,  -3.26,2450,   1.05
5492,4B 960610, 148.480,  -0.72,  -2.14,242,   0.55
6307,GRB 970714-,   1.984,  -0.08,  -2.31,474,   1.12
816,4B 910925,  90.944,  -0.02,  -3.22,51.3,   0.69
1318,4B 920127, 185.856,  -2.00,  -2.43,549,   0.43
6611,GRB 980222-,  10.048,  -1.96,  -1.69,1630,   1.04
7938,GRB 000107-, 294.784,  -1.14,  -5.53,172,   0.87
2310,4B 930420-,  26.912,  -1.80,  -3.02,59.8,   0.53
974,4B 911031-,   3.200,  -1.00,  -1.66,239,   0.37
5624,GRB 961006-, 116.544,  -0.85,  -2.65,269,   0.73
5995,GRB 970202,  26.688,  -0.71,  -1.95,473,   4.16
5716,GRB 961218-,  62.784,  -1.37, -10.65,50.9,   0.90
5479,4B 960531-, 137.344,  -1.20,  -2.42,150,   0.87
7381,GRB 990210-,   9.664,  -1.88,  -1.49,2620,   0.39
1110,4B 911122,,   0.10,  -5.54,184,   0.36
1807,4B 920813,  58.048,  -1.04,  -9.64,123,   1.16
7361,GRB 990129-,   1.856,  -0.78,  -9.37,233,   0.23
764,4B 910907,  20.800,  -0.84,  -2.61,105,   0.80
2864,4B 940307,  30.944,  -1.01,  -1.91,241,   0.63
2932,4B 940415-,   9.120,   0.56,  -3.26,173,   0.38
2230,4B 930309-,   7.360,  -0.37,  -2.34,142,   0.32
3284,4B 941115,   5.056,  -0.18,  -7.63,414,   0.44
3530,4B 950502,   1.600,  -0.99,  -2.75,61.5,   1.36
7566,GRB 990515,  28.480,  -1.97,  -1.79,988,   0.79
7752,GRB 990904-,   8.640,  -1.02,  -2.88,350,   1.12
3410,4B 950210,   0.116,  -0.28,  -3.10,163,   2.04
237,4B 910529,  40.512,  -0.79,  -5.64,230,   0.34
1679,4B 920628-,   4.544,  -1.52,  -2.23,38.9,   0.83
6796,GRB 980530-,  21.312,   0.17,  -2.68,124,   0.25
3908,4B 951116,  13.920,  -1.71,  -1.52,917,   0.40
5439,4B 960420,   4.544,  -1.68,  -1.39,2560,   1.30
692,4B 910818,  62.528,  -1.21,  -3.98,87.5,   0.79
7576,GRB 990519,  31.360,  -1.71,  -4.11,999,   0.39
6648,GRB 980319,  88.384,   0.55,  -2.57,210,   0.31
7876,GRB 991123-,,  -0.81,  -2.92,504,   0.15
5485,4B 960604,   3.840,  -0.96,  -6.10,243,   0.39
7447,GRB 990304-,   0.392,   1.52,  -2.44,144,   0.34
3588,4B 950521,  57.888,  -2.13,  -2.59,512,   1.29
5627,GRB 961009-,   7.616,  -1.91,  -7.63,1340,   0.97
1025,4B 911109,   2.624,  -0.65,  -2.74,149,   6.34
7818,GRB 991023,  42.752,  -0.83,  -5.87,200,   0.77
6180,GRB 970414-,   0.896,   1.35, -10.11,166,   0.27
1492,4B 920318-,   4.096,  -1.73,  -3.92,21.3,   1.23
6103,GRB 970226-,  49.408,  -0.91,  -2.70,184,   0.90
7549,GRB 990506-, 130.048,  -1.17,  -2.62,341,   4.81
2929,4B 940414-,  42.752,  -1.15,  -2.14,614,   1.92
7116,GRB 980924,  20.224,  -0.56, -32.90,48.7,   1.72
1148,4B 911205,  49.344,  -0.27,  -5.15,375,   0.59
2207,4B 930221,   3.200,  -1.91,  -6.83,1910,   0.56
2040,4B 921102-,   1.112,   0.60,  -1.79,162,   0.29
2564,4B 931005,   0.256,  -0.99,  -4.67,231,   0.43
2106,4B 921227,  26.048,  -0.61,  -2.25,214,   0.98
5461,4B 960515,   1.408,  -0.17, -11.92,352,   0.84
2998,4B 940529-,  33.056,  -0.69,  -2.86,71.7,   1.02
138,4B 910502-,   0.315,  -1.11,  -1.47,302,   0.20
508,4B 910710,   0.896,  -0.66,  -2.01,578,   0.41
3072,4B 940711,   8.704,  -1.92,  -3.76,21.1,   0.66
2748,4B 940108,   0.384,  -1.17,  -9.54,855,   0.18
1851,4B 920818,   1.152,  -1.52,  -1.62,130,   0.27
3121,4B 940812-,   0.792,   0.25,  -3.07,432,   0.44
5473,4B 960524-,  80.640,  -1.12, -18.63,368,   1.28
3253,4B 941020-,  56.000,  -1.18,  -3.52,222,   6.15
6670,GRB 980331-,  40.320,  -0.70,  -1.72,704,   0.39
6411,GRB 971004-,   6.464,   0.11,  -2.94,100,   0.26
7185,GRB 981031, 147.456,  -1.63,  -5.38,59.5,   1.76
7551,GRB 990507-, 119.616,  -1.91,  -7.47,1480,   0.92
3870,4B 951016-,   8.448,  -1.64,  -2.16,166,   5.91
729,4B 910827,   0.183,   0.04,  -1.06,203,   0.18
2330,4B 930506-,   0.804,  -0.08,  -1.93,297,   0.60
7353,GRB 990126-,   0.249,  -0.43, -10.40,1540,   2.25
2306,4B 930416,  21.120,  -0.85,  -2.22,233,   0.70
3269,4B 941031-,  13.888,  -0.83, -12.90,702,   1.44
3356,4B 950114-,   5.952,  -0.99,  -3.05,88.7,   2.04
7294,GRB 990102-,   0.154,  -0.49,  -5.19,1230,   0.47
8050,GRB 000324,   3.904,  -1.18,  -3.71,73.1,   2.06
6285,GRB 970628-,  43.264,  -1.60, -18.63,119,   0.75
3663,4B 950711, 204.416,  -1.36,  -2.81,237,   0.91
6668,GRB 980330,   0.116,  -0.75,  -3.16,563,   3.43
2856,4B 940302, 119.872,  -0.89,  -3.15,434,   4.47
6137,GRB 970326-,   8.384,  -0.10,  -6.31,259,   0.28
6570,GRB 980113,,  -1.51,  -2.14,108,   3.09
7827,GRB 991028,   2.267,  -0.92,  -2.35,386,   0.30
3056,4B 940702,  36.320,  -1.66, -20.31,135,   1.26
5488,4B 960607-,   0.192,   0.21,  -5.92,229,   0.15
6380,GRB 970912-,  65.600,  -1.41, -17.67,472,   1.12
5604,GRB 960913-,  15.680,  -0.52,  -2.63,353,   1.57
6534,GRB 971216,   4.352,  -1.51,  -3.52,97.9,   0.51
3502,4B 950410,   0.416,  -1.75,  -2.49,3020,   0.31
2924,4B 940413-, 137.088,  -1.56, -17.92,105,   0.71
6830,GRB 980617-,  28.352,  -1.18, -16.82,110,   0.79
6127,GRB 970317-,  70.080,  -1.17,  -3.12,1200,   0.32
2662,4B 931127,  16.128,  -0.91,  -2.89,173,   0.91
7133,GRB 980929,   1.079,  -0.85,  -2.71,368,   1.13
1141,4B 911202-,  20.096,  -1.18,  -2.18,397,   4.15
6135,GRB 970324,   4.032,  -0.60,  -4.68,743,   0.38
109,4B 910425-,  90.176,  -1.57,  -1.82,874,   1.41
815,4B 910923,  25.408,  -2.09,  -2.41,526,   0.85
7533,GRB 990426,   9.600,  -0.79,  -4.37,203,   0.66
6216,GRB 970501,   2.432,   0.66,  -2.74,92.8,   1.49
7795,GRB 991011-, 120.000,  -0.30,  -5.26,140,   0.38
938,4B 911026,  30.976,  -0.97,  -2.43,107,   0.66
2325,4B 930503-,  22.528,  -0.94, -18.63,261,   0.27
2947,4B 940425-,  21.920,  -1.02, -23.20,111,   0.50
1687,4B 920707,  32.384,  -0.25,  -2.44,88.8,   0.32
7329,GRB 990117-,   3.136,  -0.70,  -2.31,664,   0.48
3439,4B 950223, 150.784,  -1.91,  -4.35,1530,   0.75
2848,4B 940226-,   7.232,  -1.96,  -5.72,541,   0.51
2966,4B 940507,   0.312,  -0.03,  -3.47,143,   0.25
5736,GRB 970101,  79.168,  -1.19,  -2.54,91.3,   0.40
5379,4B 960330,  11.328,  -0.70, -18.63,521,   0.59
6710,GRB 980427,   1.088,   1.09,  -2.38,229,   0.19
2623,4B 931110,   3.392,   0.96,  -4.60,267,   1.14
3894,4B 951104-,   1.483,  -1.20,  -1.54,223,   0.47
5718,GRB 961218-,   8.768,  -1.85,  -2.68,22.8,   0.49
2167,4B 930206-,   0.128,  -0.09,  -2.03,217,   0.40
3916,4B 951121, 115.456,  -1.57,  -3.44,96,   0.84
1145,4B 911204,  32.192,  -1.03,  -2.54,81.7,   0.72
3608,4B 950530,  16.896,  -1.64,  -1.97,312,   0.72
5715,GRB 961216,  20.992,  -1.91,  -7.28,826,   0.81
1046,4B 911111-, 114.368,  -1.61,  -2.44,103,   0.59
6659,GRB 980326-,   0.200,  -1.30,  -1.75,1380,   0.51
4653,4B 960129-,  51.680,  -0.33,  -2.50,62,   0.59
6298,GRB 970708-,   9.984,   0.57,  -3.00,53.7,   0.52
3649,4B 950625,  26.496,  -1.19,  -3.17,201,   1.81
1152,4B 911208-, 274.880,  -1.48,  -6.38,232,   0.50
1129,4B 911129-,   0.960,  -0.97,  -2.98,216,   0.24
7786,GRB 991004-,  29.696,  -1.16,  -2.11,86.9,   1.07
1484,4B 920315-,,  -1.47,  -2.58,127,   1.71
1085,4B 911118-,  19.200,  -1.08,  -3.10,207,   9.21
3606,4B 950529,   1.824,  -0.16,  -9.54,448,   1.30
2140,4B 930121-,  19.072,  -1.10,  -3.14,48.4,   0.82
1288,4B 920110-, 318.592,  -1.05,  -2.56,266,   1.35
1886,4B 920902-, 275.712,  -0.51,  -2.32,456,   2.58
3866,4B 951014-,   4.224,  -1.21, -18.63,504,   2.30
841,4B 910930-,  17.408,  -1.91,  -6.71,1910,   1.09
2298,4B 930410,  70.016,  -1.18, -22.64,161,   0.49
3193,4B 940925,  64.064,  -1.08, -14.90,206,   0.66
5389,4B 960331-,  23.744,  -0.84, -24.07,193,   1.52
8098,GRB 000508-, 136.192,  -0.91,  -2.86,118,   1.13
7586,GRB 990527-,,  -0.52,  -2.17,188,   2.38
2148,4B 930127-,  61.376,  -1.30, -11.99,120,   0.55
111,4B 910426,  98.176,  -1.02,  -3.41,92.1,   0.53
1159,4B 911210,  18.240,  -0.87,  -2.03,191,   0.97
7547,GRB 990504,   1.011,  -1.05,  -2.39,737,   0.79
3930,4B 951203, 172.736,  -1.23, -14.90,1030,   4.82
5410,4B 960404,,  -1.06,  -3.50,88.4,   0.41
3078,4B 940714-,   0.224,  -0.97,  -3.70,2200,   0.45
6552,GRB 971230-,  22.592,  -1.91,  -5.02,1210,   0.90
2254,4B 930318-,   5.440,  -1.16,  -2.18,218,   0.90
6147,GRB 970330-,  32.832,  -0.45,  -6.34,83.1,   0.85
7788,GRB 991004-,  77.376,  -1.22,  -2.13,182,   1.40
7502,GRB 990403-,  82.880,  -1.72,  -2.73,94.6,   0.95
2431,4B 930706-,   2.776,  -1.11,  -2.24,184,   3.86
3940,4B 951211-,   0.576,  -1.78,  -1.65,1990,   0.40
2255,4B 930318-,,  -1.25,  -9.22,198,   1.70
6745,GRB 980508-, 134.656,  -1.61, -12.79,161,   0.58
7428,GRB 990225-,   1.728,  -1.39, -11.92,1310,   0.43
1462,4B 920303-,,  -1.43, -14.90,198,   0.48
2593,4B 931019-,  29.888,  -1.59,  -2.54,47.2,   1.10
6814,GRB 980609-,  19.264,  -1.14,  -2.27,171,   1.49
551,4B 910718-,   0.250,  -0.88,  -4.89,1020,   1.06
5713,GRB 961214,  50.432,  -1.91,  -4.32,1140,   0.66
7518,GRB 990413,  12.736,   0.06,  -4.40,345,   1.21
6281,GRB 970627-,   3.072,  -0.20,  -5.49,805,   0.16
5556,4B 960731-,   1.511,   0.92,  -2.47,94.8,   0.45
7762,GRB 990912,  21.632,  -1.01,  -2.57,111,   0.99
1558,4B 920419-,  27.584,  -0.39,  -1.93,76.4,   0.49
2384,4B 930609-,   0.192,  -1.74,  -1.88,120,   0.19
7322,GRB 990112,  60.480,  -1.18,  -2.05,168,   0.71
7614,GRB 990620-,  18.432,  -0.73,  -4.95,205,   0.88
3321,4B 941215-,  22.912,  -0.34,  -2.36,268,   0.32
5464,4B 960516-,  28.864,  -0.88,  -9.23,311,   0.70
7979,GRB 000202,   2.668,   0.60,  -1.92,316,   0.34
7798,GRB 991011-,  10.432,  -1.02,  -5.12,205,   0.62
6782,GRB 980525,  39.680,  -0.87,  -2.02,322,   0.35
2312,4B 930421-,   0.272,  -0.43,  -6.10,650,   0.38
1643,4B 920610,   4.224,  -1.82,  -2.35,12.9,   0.69
3178,4B 940921-,  39.936,  -1.21,  -2.18,757,   2.77
1213,4B 911224-,  20.224,  -0.85, -14.90,366,   0.31
6233,GRB 970516,   4.864,  -2.10,  -1.97,421,   0.85
3637,4B 950610,  13.184,  -0.74,  -5.24,171,   0.98
6587,GRB 980203-,  23.040,  -0.97,  -2.40,318,   8.88
6207,GRB 970424-,,  -1.55, -18.47,387,   0.62
3115,4B 940810,  45.312,  -0.74,  -2.78,314,   2.51
2701,4B 931221-,   0.636,   2.25,  -2.04,139,   0.22
6369,GRB 970907-,  29.312,  -1.65,  -2.40,93.1,   0.75
3768,4B 950822-,  51.104,  -0.40,  -3.65,80.3,   0.88
1991,4B 921017,  70.912,  -0.52,  -5.00,86.9,   0.38
755,4B 910904,   6.464,  -1.08,  -7.63,327,   0.52
2328,4B 930506-,  53.984,  -1.20,  -3.10,112,   1.04
6269,GRB 970613-,  22.976,  -1.49, -11.92,630,   0.54
7943,GRB 000111,   3.456,  -0.44,  -1.98,480,   0.99
1648,4B 920615-,  22.400,  -1.09,  -2.46,86.5,   0.42
7496,GRB 990330-,   2.197,  -0.03,  -1.47,142,   0.29
1609,4B 920517-,  12.672,  -1.17,  -2.46,265,   4.07
6939,GRB 980723,,  -0.71,  -3.30,71.2,   1.43
512,4B 910711,   0.183,   1.55, -20.46,464,   0.17
2383,4B 930609-,  50.944,  -0.82,  -2.30,638,   0.67
3902,4B 951110,   0.192,  -0.51, -18.63,639,   0.98
7148,GRB 981009-,   1.177,   0.55,  -3.34,215,   0.26
3247,4B 941018-, 200.704,  -0.47,  -2.32,277,   0.80
5436,4B 960418-,,  -1.24,  -3.41,42.3,   4.11
3027,4B 940613,   0.120,  -0.08,  -2.76,672,   0.20
2454,4B 930721-,   1.359,   0.16,  -3.15,127,   0.47
6293,GRB 970704-,   0.192,  -1.25,  -4.73,5050,   1.08
7588,GRB 990528,  25.088,  -1.90,  -1.63,371,   1.71
6198,GRB 970420,  10.496,  -1.14,  -2.53,315,   9.38
1359,4B 920205,   0.258,  -0.86,  -5.81,989,   0.38
6579,GRB 980124-,   2.944,  -1.06,  -7.63,443,   0.49
7954,GRB 000115,  15.040,  -0.89,  -2.63,213,   5.68
2105,4B 921222,   3.392,  -1.78,  -2.91,89.1,   0.71
3345,4B 950104,  40.416,  -1.42,  -2.27,221,   1.84
7785,GRB 991004-, 108.992,  -0.46,  -2.93,140,   0.78
2482,4B 930805-,  35.584,  -0.27,  -2.61,104,   1.23
114,4B 910427, 381.248,  -1.91,  -4.85,917,   0.55
3030,4B 940616-,,  -1.09,  -2.78,247,   0.44
773,4B 910908,  60.992,  -1.08,  -3.07,72.6,   0.72
3142,4B 940829,  33.088,  -0.77,  -1.87,201,   0.66
2119,4B 930106-,  15.296,  -0.01,  -2.90,146,   0.63
6235,GRB 970517-,   4.032,  -0.92,  -3.22,386,   3.65
1346,4B 920203,   4.544,  -1.46, -14.90,971,   0.61
5079,4B 960229-,   1.184,  -1.23, -18.63,391,   0.18
2790,4B 940128-,  45.248,  -1.32, -22.33,199,   1.96
7535,GRB 990428,   9.792,  -1.18,  -2.00,348,   0.34
7677,GRB 990726,  59.392,  -0.40,  -2.60,124,   0.40
1974,4B 921003-,   7.232,   0.08,  -3.67,54,   9.74
2727,4B 940101-,  64.288,  -1.71,  -3.23,264,   0.41
3791,4B 950911-,   0.336,  -0.91,  -1.35,383,   0.40
2933,4B 940415-,   0.320,  -0.09,  -2.26,427,   1.37
7238,GRB 981129,,  -1.63,  -1.69,317,   0.63
2880,4B 940313,   6.115,  -0.66,  -2.96,135,   1.45
3403,4B 950206-,  31.840,  -0.67,  -2.72,126,   0.44
3487,4B 950328,   0.642,   0.33, -18.63,567,   0.21
6303,GRB 970713-,  33.984,  -1.05,  -2.17,181,   1.70
5532,4B 960707-,,   0.34,  -7.38,156,   0.25
1571,4B 920429,,  -1.21,  -2.46,170,   0.86
563,4B 910721-,  22.528,  -0.76,  -2.59,168,   0.97
5412,4B 960405-,  98.848,  -1.38,  -2.94,85,   0.76
3442,4B 950226,,  -0.77,  -3.02,189,   1.81
5615,GRB 960925,   1.792,  -1.90,  -7.63,614,   0.47
6249,GRB 970603-, 102.208,  -1.24,  -1.96,409,   0.76
1922,4B 920912,  16.192,  -1.17,  -8.01,148,   1.10
575,4B 910725-,   0.413,  -0.53,  -2.68,315,   0.67
353,4B 910614-,,  -2.02,  -3.19,62.8,   6.98
3015,4B 940604-,  26.752,  -1.12,  -3.69,233,   0.81
3643,4B 950619,,  -0.46,  -7.32,71.3,   0.50
6498,GRB 971125-, 108.544,  -0.80,  -7.48,119,   0.59
7922,GRB 991228-,   0.422,  -1.62,  -5.89,2170,   0.61
5490,4B 960608-,  18.368,  -0.49,  -7.32,116,   0.51
7741,GRB 990828,  47.232,  -0.31, -24.12,63.9,   0.62
6238,GRB 970522,   2.240,  -0.35,  -1.19,911,   0.17
3471,4B 950317-,  19.808,  -0.73,  -1.97,109,   0.52
351,4B 910614-, 146.944,  -1.41, -18.63,259,   0.66
5640,GRB 961022-,  16.448,  -1.15,  -2.39,77.7,   0.60
6296,GRB 970707-,,  -1.15, -23.99,58.3,   0.54
3349,4B 950108,   0.384,   0.71, -11.51,194,   0.50
7469,GRB 990314,  18.240,  -1.96,  -3.14,2030,   1.69
7240,GRB 981130,   3.072,  -0.83, -17.18,742,   2.81
3899,4B 951107-,  44.384,  -0.48,  -1.79,90.5,   0.35
6091,GRB 970214-,   1.472,   0.04,  -3.33,104,   0.75
7918,GRB 991226,  65.792,  -0.75,  -2.08,344,   0.25
2889,4B 940319,  75.904,  -0.71,  -3.29,354,   1.42
